pin,slack
Initial_blinking_SW1/cnt[13]:LAT,
Initial_blinking_SW1/cnt[13]:Q,11626
Initial_blinking_SW1/cnt[13]:SD,
Initial_blinking_SW1/cnt[13]:SLn,
Initial_blinking_SW2/cnt_RNI2TF2V[26]:A,
Initial_blinking_SW2/cnt_RNI2TF2V[26]:B,11862
Initial_blinking_SW2/cnt_RNI2TF2V[26]:C,16224
Initial_blinking_SW2/cnt_RNI2TF2V[26]:CC,11467
Initial_blinking_SW2/cnt_RNI2TF2V[26]:P,11862
Initial_blinking_SW2/cnt_RNI2TF2V[26]:S,11467
Initial_blinking_SW2/cnt_RNI2TF2V[26]:UB,16224
Initial_blinking_SW1/cnt[15]:ADn,
Initial_blinking_SW1/cnt[15]:ALn,16180
Initial_blinking_SW1/cnt[15]:CLK,13942
Initial_blinking_SW1/cnt[15]:D,11384
Initial_blinking_SW1/cnt[15]:EN,
Initial_blinking_SW1/cnt[15]:LAT,
Initial_blinking_SW1/cnt[15]:Q,13942
Initial_blinking_SW1/cnt[15]:SD,
Initial_blinking_SW1/cnt[15]:SLn,
Initial_blinking_SW2/cnt_RNILG6201[27]:A,
Initial_blinking_SW2/cnt_RNILG6201[27]:B,12558
Initial_blinking_SW2/cnt_RNILG6201[27]:C,16269
Initial_blinking_SW2/cnt_RNILG6201[27]:CC,11385
Initial_blinking_SW2/cnt_RNILG6201[27]:P,
Initial_blinking_SW2/cnt_RNILG6201[27]:S,11385
Initial_blinking_SW2/cnt_RNILG6201[27]:UB,16269
Fast_clk_SW2/cnt[18]:ADn,
Fast_clk_SW2/cnt[18]:ALn,16180
Fast_clk_SW2/cnt[18]:CLK,12511
Fast_clk_SW2/cnt[18]:D,11544
Fast_clk_SW2/cnt[18]:EN,
Fast_clk_SW2/cnt[18]:LAT,
Fast_clk_SW2/cnt[18]:Q,12511
Fast_clk_SW2/cnt[18]:SD,
Fast_clk_SW2/cnt[18]:SLn,
Fast_clk_SW1/cnt_RNIMPT37[1]:A,
Fast_clk_SW1/cnt_RNIMPT37[1]:B,11587
Fast_clk_SW1/cnt_RNIMPT37[1]:C,16061
Fast_clk_SW1/cnt_RNIMPT37[1]:CC,13484
